id,label,parent_id
0100,Geisteswissenschaften allgemein,010
0120,Interdisziplinäre Studien (Schwerpunkt Geisteswissenschaften),010
0200,Evang. Theologie allgemein,020
0210,Altes Testament (ev.),020
0215,Diakoniewissenschaft,020
0230,Historische Theologie (ev.),020
0220,Neues Testament (ev.),020
0250,Praktische Theologie und Religionspädagogik (ev.),020
0260,Religionsgeschichte und Missionswissenschaft (ev.),020
0240,Systematische Theologie (ev.),020
0300,Kath. Theologie allgemein,030
0390,Altkatholische Theologie,030
0310,Biblische Theologie (kath.),030
0315,Caritaswissenschaft,030
0320,Historische Theologie (kath.),030
0350,Kanonistik (kath.),030
0340,Praktische Theologie und Religionspädagogik (kath.),030
0330,Systematische Theologie (kath.),030
0400,Philosophie allgemein,040
0420,Didaktik der Philosophie/der Ethik,040
0425,Geschichte der Philosophie,040
0426,Logik,040
0410,Religionswissenschaft,040
0430,Wissenschaftsforschung/-lehre,040
0500,Geschichte allgemein,050
0520,Alte Geschichte,050
0570,Archäologie,050
0580,Didaktik der Geschichte,050
0585,Kultur- und Geistesgeschichte,050
0550,"Länder-, Landesgeschichte",050
0530,Mittelalterliche Geschichte,050
0540,Neuere und neueste Geschichte,050
0510,Ur- und Frühgeschichte,050
0560,Wirtschafts- und Sozialgeschichte,050
0595,Wissenschaftsgeschichte/Technikgeschichte,050
0700,Informations- und Bibliothekswissenschaften allgemein,070
0720,Archiv- und Dokumentationswissenschaft,070
0710,Bibliothekswissenschaft (nicht für Verwaltungs-FH),070
0730,Informationswissenschaft,070
0800,Allgemeine und vergleichende Literatur- und Sprachwissenschaft allgemein,080
0820,Allgemeine und vergleichende Literaturwissenschaft,080
0810,Allgemeine und vergleichende Sprachwissenschaft,080
0830,"Angewandte Sprachwissenschaft, berufsbezogene Fremdsprachenausbildung",080
0835,Computerlinguistik,080
0840,Fremdsprachenausbildung (für Hörer aller Fakultäten),080
0845,Indogermanistik,080
0900,Altphilologie allgemein,090
0930,Byzantinistik,090
0960,Didaktik der Altphilologie,090
0910,Griechische Philologie,090
0920,Lateinische Philologie,090
0940,Neugriechisch,090
0950,Papyrologie,090
1000,"Germanistik (Deutsch, germanische Sprachen ohne Anglistik) allgemein",100
1040,Deutsch als Fremdsprache oder als Zweitsprache,100
1080,Deutsche Literaturwissenschaft,100
1090,Deutsche Sprachwissenschaft,100
1050,Didaktik der deutschen Sprache,100
1030,Niederlandistik,100
1020,Skandinavistik,100
1070,Sonstige germanische Sprachen (ohne Anglistik),100
1110,Amerikanistik,110
1100,Anglistik,110
1120,Didaktik des Englischen,110
1125,"Wirtschaftsenglisch, Englische Fachsprachen",110
1200,Romanistik allgemein,120
1215,Didaktik des Französischen,120
1225,Didaktik des Italienischen,120
1235,Didaktik des Spanischen,120
1210,Französische Sprach- und Literaturwissenschaft,120
1230,Iberoromanische Sprach- und Literaturwissenschaft,120
1220,Italienische Sprach- und Literaturwissenschaft,120
1240,Sonstige romanische Sprachen,120
1300,"Slawistik, Baltistik, Finno-Ugristik allgemein",130
1310,Slawistik allgemein,130
1380,Balkanologie,130
1350,Baltistik,130
1370,Finno-Ugristik,130
1315,Ostslawische Philologien,130
1346,Polnisch,130
1320,Russische Sprach- und Literaturwissenschaft,130
1347,Sorabistik,130
1340,Südslawische Philologien,130
1348,Tschechisch,130
1345,Westslawische Philologien,130
1400,Sonstige Sprach- und Kulturwissenschaften allgemein,140
1420,Afrikanistik,140
1410,Ägyptologie,140
1430,Altorientalistik,140
1570,Außereurop. Sprachen und Kulturen Amerikas,140
1575,Außereurop. Sprachen und Kulturen Australiens,140
1490,Indologie,140
1480,Iranistik,140
1470,Islamwissenschaft,140
1540,Japanologie,140
1460,Judaistik/Hebräisch,140
1465,Kaukasistik,140
1550,Koreanistik,140
1576,Orientalistik allgemein,140
1450,"Semitistik, Arabistik",140
1530,Sinologie,140
1440,Sprachen und Kulturen des christlichen Orients,140
1445,Sprachen und Kulturen des Nahen und Mittleren Ostens,140
1495,Sprachen und Kulturen Ostasiens allgemein,140
1560,Sprachen und Kulturen Südostasiens und Ozeaniens,140
1520,Sprachen und Kulturen Zentralasiens,140
1510,Turkologie,140
1610,Sonstige Sprachwissenschaften,140
1650,Allgemeine Kulturwissenschaft,160
1580,Ethnologie,160
1660,Europäische Ethnologie,160
1590,Volkskunde,160
1950,Islamische Studien/Islamische Theologie,195
130,Medienwissenschaft,197
2000,Sportwissenschaften allgemein,200
2005,Didaktik des Sports,200
2010,Sportmedizin,200
2020,Sportpädagogik/Sportpsychologie,200
2200,"Rechts-, Wirtschafts- und Sozialwissenschaften allgemein",220
2210,"Interdisziplinäre Studien (Schwerpunkt Rechts-, Wirtschafts- und Sozialwissenschaften)",220
2230,Wirtschafts- und Sozialpolitik,220
2250,Afrika-Studien,225
2255,Lateinamerika-Studien,225
2265,Naher und Mittlerer Osten-Studien,225
2290,Nord- und Westeuropa-Studien,225
2260,Nordamerika-Studien,225
2285,Ost- und Südosteuropa-Studien,225
2270,Ostasien-Studien,225
2275,Südasien-Studien,225
2280,Südostasien und Ozeanien-Studien,225
2300,Politikwissenschaft allgemein,230
2350,"Internationale Politik, Internationale Beziehungen",230
2360,Politische Bildung,230
2370,Politische Systeme,230
2380,Politische Theorie und Ideengeschichte,230
2320,Sozialwissenschaften/Soziologie allgemein,235
2340,Bevölkerungswissenschaft (Demographie),235
2355,Empirie und Methoden,235
2345,Sozialkunde,235
2365,Soziologische Theorie,235
2375,Spezielle Soziologien,235
2400,Sozialwesen allgemein,240
2410,Soziale Arbeit,240
2420,Sozialpädagogik,240
2500,Rechtswissenschaften allgemein,250
2630,Arbeitsrecht,250
2670,Bürgerliches Recht,250
2665,Europarecht,250
2620,Handelsrecht,250
2580,Internationales Recht und Rechtsvergleichung,250
2540,Kirchenrecht,250
2545,Kriminologie,250
2560,Öffentliches Recht,250
2550,Privatrecht (ohne Arbeitsrecht),250
2650,Prozessrecht,250
2520,Rechts- und Staatsphilosophie,250
2510,Rechtsgeschichte,250
2515,Rechtsinformatik,250
2530,Rechtssoziologie,250
2680,Sozialrecht,250
2590,Steuerrecht,250
2570,Strafrecht,250
2690,Versicherungsrecht,250
2640,Wirtschaftsrecht,250
2700,Verwaltungswissenschaft allgemein,270
2770,Allgemeine innere Verwaltung,270
2710,Arbeits- und Berufsberatung,270
2720,Arbeitsverwaltung,270
2711,Archivwesen,270
2730,Auswärtige Angelegenheiten,270
2740,Bankwesen,270
2712,Bibliothekswesen,270
2750,Bundeswehrverwaltung,270
2760,Finanzverwaltung,270
2780,Justizvollzug,270
2790,Polizei/Verfassungsschutz,270
2810,Post- und Fernmeldewesen,270
2610,Rechtspflege,270
2820,Sozialverwaltung,270
2830,Verkehrswesen,270
2840,Zoll- und Steuerverwaltung,270
2900,Wirtschaftswissenschaften allgemein,290
3010,Arbeitslehre/-wissenschaft,290
2960,Betriebswirtschaftslehre,290
2980,Finanzwissenschaft,290
2966,Internationale Wirtschaft,290
2985,Medienwirtschaft/Medienmanagement,290
2940,Ökonometrie,290
2925,Sportmanagement/Sportökonomie,290
2815,Tourismuswirtschaft,290
2905,Umweltwirtschaft/Umweltökonomie,290
2971,Verkehrswirtschaft,290
2835,Versicherungswesen,290
2930,Volkswirtschaftslehre,290
2920,Wirtschaftsinformatik (für Wirtschaftsingenieure),290
2935,Wirtschaftsinformatik (für Wirtschaftswissenschaften),290
2936,Wirtschaftsmathematik,290
2910,Wirtschaftspädagogik,290
2915,Wirtschaftsstatistik,290
3100,Wirtschaftsingenieurwesen mit wirtschaftswissenschaftlichem Schwerpunkt,310
3110,Facility Management,310
1700,Psychologie allgemein,315
1750,Allgemeine und kognitive Psychologie,315
1715,"Arbeits-, Organisations- und Wirtschaftspsychologie",315
1760,Biologische und Neuropsychologie,315
1710,"Differentielle Psychologie, Persönlichkeitspsychologie und Diagnostik",315
1720,Entwicklungspsychologie,315
1740,"Klinische Psychologie, Diagnostik und Psychotherapie",315
1770,Methoden und Evaluation der Psychologie,315
1725,Pädagogische Psychologie,315
1730,Sozialpsychologie,315
1800,Erziehungswissenschaften allgemein,320
1805,Berufs- und Wirtschaftspädagogik,320
1801,Didaktik,320
1802,Empirische Bildungsforschung,320
1820,Erwachsenenbildung,320
1803,Grundschul- und Primarstufenpädagogik,320
1804,Historische Bildungsforschung,320
1829,Interkulturelle und International Vergleichende Erziehungswissenschaft,320
